source	target
830926948343873536	880525171664310272
3037764267	101843145
1166530836	871133532810125312
707624141021683713	None
233338263	None
311679461	2924771138
779185087	361849520
53302612	84076180
928017008595292168	871133532810125312
2164788674	84076180
58064534	989053890
2822745389	949146687058030592
67965661	None
2279832859	2904833849
497150491	894922013797646336
780231999109955584	871133532810125312
63588670	256267168
820324589507055617	None
779185087	None
93447338	None
497150491	55973100
956310652259364864	None
2774446345	328691962
831576142792552448	None
3432959230	1183521331
242527582	None
93896674	None
3354328371	None
419766418	774592682144464896
1556296981	None
928353071784177664	3983928853
95519206	None
391076532	15249841
263420231	871133532810125312
851088126210691073	None
4145523503	328691962
2996832729	914958738825596928
2685619861	65473559
480516128	84076180
1527684900	65473559
2822745389	178307421
3432959230	46730598
384901069	361849520
419766418	1308260437
2650875688	2786316953
63588670	117820023
149629501	774592682144464896
164538791	871133532810125312
167568597	266861485
341176540	774592682144464896
2996832729	749935955927265280
457423427	3318337402
780532176311820288	774592682144464896
2826450100	None
1713761478	322697814
2160792713	764606346918518784
751201925778010112	938945001203093504
2945856430	204485184
2935449693	None
480516128	949146687058030592
780231999109955584	1499458974
744992716107440128	None
30486121	871133532810125312
384901069	725179408865218560
3990138682	749935955927265280
704429969879990272	None
871133532810125312	None
497150491	2575310246
154692419	None
101255538	949146687058030592
2685619861	774592682144464896
836920478568677377	None
779185087	None
793142809465348097	204485184
173851898	774592682144464896
55958912	123710016
949081357912813568	871133532810125312
174903134	83001152
904364743141584896	361849520
904771102269952000	871133532810125312
263865646	None
63588670	2786316953
2796724336	714971892109742080
891439460377931780	178307421
497150491	1901979643
928641903788249088	None
859749604874743808	328691962
384901069	178307421
2528246047	2365699398
2562343832	451263883
2160792713	37723058
3026189775	871133532810125312
558285110	None
933496194441121798	871133532810125312
2822745389	361849520
384901069	328691962
30517322	204485184
855811973652590593	123710016
480516128	361849520
909776335974862849	None
3083368193	774592682144464896
153068983	243799287
1021367456	94199538
101255538	725179408865218560
104908811	None
782074903658893312	None
106425301	871133532810125312
79331709	None
75196498	361849520
263420231	117820023
734182947172044800	None
439345396	None
3432959230	2923560940
497150491	871133532810125312
4020330579	1972623576
249668286	None
210042340	871133532810125312
3436274159	None
717481808854716416	774592682144464896
3432959230	711008708772405248
948261748045381632	None
3354328371	None
2685619861	725179408865218560
365776250	None
909078523406688264	None
384901069	204485184
859575832943185921	871133532810125312
66130293	None
1713761478	908697731421605888
58064534	871133532810125312
851532615672791040	None
1727412014	None
3432959230	11564842
51900981	None
942388820619743233	337947128
885954626465476608	871133532810125312
252804420	855456773070872576
3990138682	514897990
2774446345	741382796489396225
892428174168121344	1095194659
63588670	1183521331
705679122	361849520
2685619861	361849520
63588670	46730598
2983501498	855456773070872576
764875062944096256	None
937779533503172609	2571656740
859575832943185921	871133532810125312
16404987	84076180
758486013413093376	328691962
995863826	774592682144464896
480516128	204485184
3765789797	2484226796
845005019510423552	83001152
780231999109955584	243799287
3432959230	707624141021683713
2382662035	None
2666044872	774592682144464896
126658241	84076180
2796724336	75354276
